City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential
München;0;2.500.001 - 5.000.000;5000000;55;14;20 - 49;291;291;291;35;1785;1729;129;2032.6448756291995
Heilbronn;0;;;74;4;20 - 49;291;291;291;45;221;218;8;1913.1355085842797
Oldenburg;0;5.000.001 - 25.000.000;7614618;65;14;20 - 49;291;291;291;30;107;106;2;2079.3106965730794
Stuhr;0;;;42;14;20 - 49;291;291;291;20;236;228;18;1988.5112200714798
Großthiemig;0;500.001 - 2.500.000;1326717;47;4;10 - 19;291;292;292;13;21;20;2;1902.3449799058803
Dattenberg;0;5.000.001 - 25.000.000;6800000;66;14;20 - 49;291;290;291;36;96;95;7;2078.29565104428
Berlin;0;;;40;20;20 - 49;291;291;291;30;2287;2194;221;2625.827538273599
Bad Kreuznach;0;100.001 - 250.000;160000;61;14;10 - 19;291;290;291;16;54;53;3;1469.9848628914801
Ratingen;0;500.001 - 2.500.000;1500000;69;14;10 - 19;291;291;291;17;671;663;43;1954.0340662114795
Frankfurt;0;;;61;13;10 - 19;291;291;291;16;893;865;78;1881.4708000488
Kulmbach;0;5.000.001 - 25.000.000;6650000;70;14;10 - 19;291;291;292;17;44;43;5;1856.99055260148
Andernach;0;2.500.001 - 5.000.000;4950000;22;14;20 - 49;291;290;290;20;117;113;15;2079.48221282508
Rosenheim;0;bis 100.000;30000;63;14;20 - 49;291;291;291;40;102;102;3;1478.2104224386803
Berlin;0;;;62;20;20 - 49;291;291;291;39;3147;3021;321;1928.9028198575988
Bergisch Gladbach;0;500.001 - 2.500.000;1341785;40;14;10 - 19;290;292;290;19;195;195;5;2595.69322266228
Neuenmarkt;0;2.500.001 - 5.000.000;4270000;68;4;10 - 19;291;290;291;14;24;24;2;1701.98790360828
Burgdorf;0;250.001 - 500.000;400000;81;20;10 - 19;291;292;291;13;54;54;0;1236.76091169228
Rieseby;0;500.001 - 2.500.000;1503000;44;16;10 - 19;291;292;292;17;13;13;0;2297.75805439668
Kottenheim;0;5.000.001 - 25.000.000;8000000;39;14;20 - 49;291;290;292;39;46;45;5;2044.25024422548
Passau;0;500.001 - 2.500.000;900000;61;4;10 - 19;291;291;290;15;15;14;1;1393.81641914748
Braunschweig;0;2.500.001 - 5.000.000;3000000;63;14;20 - 49;291;291;291;45;210;208;4;2086.63578390828
Mönchengladbach;0;2.500.001 - 5.000.000;3550000;55;14;10 - 19;291;290;291;19;;;;2014.4001306322798
Ludwigshafen;0;;;78;28;20 - 49;291;291;291;20;513;501;36;2067.5424642994794
Leinefelde-Worbis;0;5.000.001 - 25.000.000;6661545;30;14;50 - 99;291;290;291;50;25;25;1;2031.89393871228
